Rank,Team,Points,Conference,Change,Year,Season,Gender,Division,Description
24.0,BYU,10.0,Independent,▼3(LW: 21),2013,Outdoor Track,Men,I,FINAL - June 8th
24.0,TEXAS TECH,10.0,Big 12,▼6(LW: 18),2013,Outdoor Track,Men,I,FINAL - June 8th
24.0,UTEP,10.0,Conference USA,▲32(LW: 56),2013,Outdoor Track,Men,I,FINAL - June 8th
27.0,MINNESOTA,9.5,Big Ten,◀▶(LW: 27),2013,Outdoor Track,Men,I,FINAL - June 8th
28.0,KANSAS,8.0,Big 12,▼5(LW: 23),2013,Outdoor Track,Men,I,FINAL - June 8th
28.0,WASHINGTON,8.0,Pac-12,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
28.0,ARIZONA STATE,8.0,Pac-12,▼12(LW: 16),2013,Outdoor Track,Men,I,FINAL - June 8th
28.0,MEMPHIS,8.0,Conference USA,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
28.0,NEW MEXICO,8.0,Mountain West,▲5(LW: 33),2013,Outdoor Track,Men,I,FINAL - June 8th
28.0,ILLINOIS STATE,8.0,Missouri Valley,▲1(LW: 29),2013,Outdoor Track,Men,I,FINAL - June 8th
28.0,AIR FORCE,8.0,Mountain West,▲26(LW: 54),2013,Outdoor Track,Men,I,FINAL - June 8th
35.0,IOWA,7.0,Big Ten,▼12(LW: 23),2013,Outdoor Track,Men,I,FINAL - June 8th
35.0,MIDDLE TENNESSEE,7.0,Sun Belt,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
35.0,CLEMSON,7.0,ACC,▲5(LW: 40),2013,Outdoor Track,Men,I,FINAL - June 8th
38.0,NORTH TEXAS,6.0,Sun Belt,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
38.0,AKRON,6.0,Mid-American,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
38.0,AUBURN,6.0,SEC,▼32(LW: 6),2013,Outdoor Track,Men,I,FINAL - June 8th
38.0,PURDUE,6.0,Big Ten,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
38.0,OKLAHOMA,6.0,Big 12,▲2(LW: 40),2013,Outdoor Track,Men,I,FINAL - June 8th
38.0,NORTHERN ARIZONA,6.0,Big Sky,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
44.0,EAST CAROLINA,5.0,Conference USA,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
44.0,GEORGE MASON,5.0,Colonial,▼5(LW: 39),2013,Outdoor Track,Men,I,FINAL - June 8th
44.0,MICHIGAN,5.0,Big Ten,▼11(LW: 33),2013,Outdoor Track,Men,I,FINAL - June 8th
44.0,JACKSON STATE,5.0,SWAC,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
44.0,BUFFALO,5.0,Mid-American,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,PRINCETON,4.0,Ivy League,▼22(LW: 27),2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,CORNELL,4.0,Ivy League,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,NOTRE DAME,4.0,Big East (1st Ed.),NR,2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,GEORGIA,4.0,SEC,▲15(LW: 64),2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,HIGH POINT,4.0,Big South,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,IDAHO,4.0,WAC,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,ILLINOIS,4.0,Big Ten,▼38(LW: 11),2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,SOUTHERN ILLINOIS,4.0,Missouri Valley,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
49.0,RUTGERS,4.0,Big East (1st Ed.),NR,2013,Outdoor Track,Men,I,FINAL - June 8th
58.0,LOUISVILLE,3.0,Big East (1st Ed.),NR,2013,Outdoor Track,Men,I,FINAL - June 8th
58.0,SYRACUSE,3.0,Big East (1st Ed.),▼2(LW: 56),2013,Outdoor Track,Men,I,FINAL - June 8th
58.0,PENN,3.0,Ivy League,▲5(LW: 63),2013,Outdoor Track,Men,I,FINAL - June 8th
58.0,LOYOLA-CHICAGO,3.0,Horizon,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
58.0,BAYLOR,3.0,Big 12,▼9(LW: 49),2013,Outdoor Track,Men,I,FINAL - June 8th
58.0,SACRAMENTO STATE,3.0,Big Sky,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
58.0,UT ARLINGTON,3.0,WAC,▼25(LW: 33),2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,WESTERN KENTUCKY,2.0,Sun Belt,▼22(LW: 43),2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,PITTSBURGH,2.0,Big East (1st Ed.),NR,2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,GEORGIA TECH,2.0,ACC,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,OKLAHOMA STATE,2.0,Big 12,▲1(LW: 66),2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,VILLANOVA,2.0,Big East (1st Ed.),▲1(LW: 66),2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,STEPHEN F. AUSTIN,2.0,Southland,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,INDIANA STATE,2.0,Missouri Valley,▼9(LW: 56),2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,SOUTHEAST MISSOURI,2.0,OVC,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,EASTERN KENTUCKY,2.0,OVC,▲1(LW: 66),2013,Outdoor Track,Men,I,FINAL - June 8th
65.0,DUKE,2.0,ACC,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
75.0,COLORADO,1.0,Pac-12,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
75.0,COLORADO STATE,1.0,Mountain West,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
77.0,TENNESSEE,0.75,SEC,▼21(LW: 56),2013,Outdoor Track,Men,I,FINAL - June 8th
77.0,IDAHO STATE,0.75,Big Sky,NR,2013,Outdoor Track,Men,I,FINAL - June 8th
77.0,CINCINNATI,0.75,Big East (1st Ed.),NR,2013,Outdoor Track,Men,I,FINAL - June 8th
1.0,KANSAS,60.0,Big 12,▲3(LW: 4),2013,Outdoor Track,Women,I,FINAL - June 8th
2.0,TEXAS A&M,44.0,SEC,▲1(LW: 3),2013,Outdoor Track,Women,I,FINAL - June 8th
3.0,OREGON,43.0,Pac-12,▼1(LW: 2),2013,Outdoor Track,Women,I,FINAL - June 8th
4.0,LSU,40.0,SEC,(LW: RV),2013,Outdoor Track,Women,I,FINAL - June 8th
5.0,UCF,35.0,Conference USA,▲14(LW: 19),2013,Outdoor Track,Women,I,FINAL - June 8th
6.0,ARIZONA,33.0,Pac-12,▲13(LW: 19),2013,Outdoor Track,Women,I,FINAL - June 8th
6.0,STANFORD,33.0,Pac-12,◀▶(LW: 6),2013,Outdoor Track,Women,I,FINAL - June 8th
8.0,ARKANSAS,30.0,SEC,▲16(LW: 24),2013,Outdoor Track,Women,I,FINAL - June 8th
9.0,CLEMSON,29.0,ACC,▼5(LW: 4),2013,Outdoor Track,Women,I,FINAL - June 8th
10.0,ARIZONA STATE,28.0,Pac-12,▲14(LW: 24),2013,Outdoor Track,Women,I,FINAL - June 8th
11.0,FLORIDA,25.0,SEC,▲1(LW: 12),2013,Outdoor Track,Women,I,FINAL - June 8th
11.0,GEORGIA,25.0,SEC,▲10(LW: 21),2013,Outdoor Track,Women,I,FINAL - June 8th
13.0,IOWA STATE,23.0,Big 12,▲25(LW: 38),2013,Outdoor Track,Women,I,FINAL - June 8th
14.0,ILLINOIS,22.0,Big Ten,▲16(LW: 30),2013,Outdoor Track,Women,I,FINAL - June 8th
15.0,TEXAS,18.0,Big 12,▼4(LW: 11),2013,Outdoor Track,Women,I,FINAL - June 8th
16.0,WICHITA STATE,17.0,Missouri Valley,▲12(LW: 28),2013,Outdoor Track,Women,I,FINAL - June 8th
17.0,ILLINOIS STATE,16.0,Missouri Valley,▼3(LW: 14),2013,Outdoor Track,Women,I,FINAL - June 8th
18.0,SOUTH DAKOTA,15.0,Summit League,▲16(LW: 34),2013,Outdoor Track,Women,I,FINAL - June 8th
18.0,MICHIGAN STATE,15.0,Big Ten,▲29(LW: 47),2013,Outdoor Track,Women,I,FINAL - June 8th
20.0,UCLA,13.0,Pac-12,▲1(LW: 21),2013,Outdoor Track,Women,I,FINAL - June 8th
21.0,OKLAHOMA,12.0,Big 12,▼14(LW: 7),2013,Outdoor Track,Women,I,FINAL - June 8th
21.0,SOUTHERN CALIFORNIA,12.0,Pac-12,▲3(LW: 24),2013,Outdoor Track,Women,I,FINAL - June 8th
23.0,AUBURN,11.0,SEC,▲1(LW: 24),2013,Outdoor Track,Women,I,FINAL - June 8th
23.0,SAN DIEGO STATE,11.0,Mountain West,▼14(LW: 9),2013,Outdoor Track,Women,I,FINAL - June 8th
25.0,OKLAHOMA STATE,10.0,Big 12,▲25(LW: 50),2013,Outdoor Track,Women,I,FINAL - June 8th
25.0,DARTMOUTH,10.0,Ivy League,▼11(LW: 14),2013,Outdoor Track,Women,I,FINAL - June 8th
25.0,TCU,10.0,Big 12,▲5(LW: 30),2013,Outdoor Track,Women,I,FINAL - June 8th
25.0,COLORADO,10.0,Pac-12,▼11(LW: 14),2013,Outdoor Track,Women,I,FINAL - June 8th
29.0,PENN STATE,9.0,Big Ten,◀▶(LW: 29),2013,Outdoor Track,Women,I,FINAL - June 8th
29.0,FLORIDA STATE,9.0,ACC,▼15(LW: 14),2013,Outdoor Track,Women,I,FINAL - June 8th
29.0,WASHINGTON,9.0,Pac-12,▼21(LW: 8),2013,Outdoor Track,Women,I,FINAL - June 8th
32.0,USF,8.0,Big East (1st Ed.),NR,2013,Outdoor Track,Women,I,FINAL - June 8th
32.0,MISSISSIPPI STATE,8.0,SEC,▲28(LW: 60),2013,Outdoor Track,Women,I,FINAL - June 8th
32.0,NEBRASKA,8.0,Big Ten,▲31(LW: 63),2013,Outdoor Track,Women,I,FINAL - June 8th
32.0,BOISE STATE,8.0,Mountain West,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
36.0,MARSHALL,7.0,Conference USA,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
36.0,CORNELL,7.0,Ivy League,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
36.0,MISSOURI,7.0,SEC,▲4(LW: 40),2013,Outdoor Track,Women,I,FINAL - June 8th
39.0,UTAH,6.0,Pac-12,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
39.0,NOTRE DAME,6.0,Big East (1st Ed.),NR,2013,Outdoor Track,Women,I,FINAL - June 8th
39.0,AKRON,6.0,Mid-American,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
39.0,WEBER STATE,6.0,Big Sky,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
39.0,EASTERN ILLINOIS,6.0,OVC,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
39.0,INDIANA STATE,6.0,Missouri Valley,▲11(LW: 50),2013,Outdoor Track,Women,I,FINAL - June 8th
45.0,SOUTH CAROLINA,5.0,SEC,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
45.0,ALABAMA,5.0,SEC,▼5(LW: 40),2013,Outdoor Track,Women,I,FINAL - June 8th
47.0,BOSTON UNIVERSITY,4.0,America East,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
47.0,MICHIGAN,4.0,Big Ten,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
49.0,KANSAS CITY,3.0,Summit League,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
49.0,PROVIDENCE,3.0,Big East (1st Ed.),▼2(LW: 47),2013,Outdoor Track,Women,I,FINAL - June 8th
49.0,ARKANSAS STATE,3.0,Sun Belt,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
49.0,TEXAS TECH,3.0,Big 12,▲6(LW: 55),2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,WESTERN KENTUCKY,2.0,Sun Belt,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,INDIANA,2.0,Big Ten,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,NORTH TEXAS,2.0,Sun Belt,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,DUKE,2.0,ACC,▲10(LW: 63),2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,UMES,2.0,MEAC,▲10(LW: 63),2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,NC STATE,2.0,ACC,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,BOWLING GREEN,2.0,Mid-American,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
53.0,UTEP,2.0,Conference USA,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
61.0,PURDUE,1.0,Big Ten,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
61.0,KENT STATE,1.0,Mid-American,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
61.0,SOUTHERN ILLINOIS,1.0,Missouri Valley,▼47(LW: 14),2013,Outdoor Track,Women,I,FINAL - June 8th
61.0,VIRGINIA TECH,1.0,ACC,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
61.0,MARYLAND,1.0,ACC,NR,2013,Outdoor Track,Women,I,FINAL - June 8th
61.0,UC DAVIS,1.0,Big West,▼21(LW: 40),2013,Outdoor Track,Women,I,FINAL - June 8th
61.0,SYRACUSE,1.0,Big East (1st Ed.),NR,2013,Outdoor Track,Women,I,FINAL - June 8th
1.0,FLORIDA,50.0,SEC,▲2(LW: 3),2012,Outdoor Track,Men,I,FINAL - June 9th
2.0,LSU,48.0,SEC,▲2(LW: 4),2012,Outdoor Track,Men,I,FINAL - June 9th
3.0,TEXAS A&M,40.0,Big 12,▼2(LW: 1),2012,Outdoor Track,Men,I,FINAL - June 9th
4.0,FLORIDA STATE,38.0,ACC,▼2(LW: 2),2012,Outdoor Track,Men,I,FINAL - June 9th
5.0,VIRGINIA TECH,33.0,ACC,◀▶(LW: 5),2012,Outdoor Track,Men,I,FINAL - June 9th
6.0,AUBURN,30.0,SEC,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
7.0,ARIZONA,27.0,Pac-12,◀▶(LW: 7),2012,Outdoor Track,Men,I,FINAL - June 9th
8.0,ARKANSAS,26.0,SEC,▲2(LW: 10),2012,Outdoor Track,Men,I,FINAL - June 9th
9.0,TEXAS,22.0,Big 12,▲3(LW: 12),2012,Outdoor Track,Men,I,FINAL - June 9th
9.0,OREGON,22.0,Pac-12,▲1(LW: 10),2012,Outdoor Track,Men,I,FINAL - June 9th
11.0,SOUTHERN UTAH,20.0,Summit League,▲47(LW: 58),2012,Outdoor Track,Men,I,FINAL - June 9th
11.0,NEBRASKA,20.0,Big Ten,▲27(LW: 38),2012,Outdoor Track,Men,I,FINAL - June 9th
11.0,ILLINOIS,20.0,Big Ten,▲1(LW: 12),2012,Outdoor Track,Men,I,FINAL - June 9th
11.0,SOUTHERN CALIFORNIA,20.0,Pac-12,▲1(LW: 12),2012,Outdoor Track,Men,I,FINAL - June 9th
11.0,INDIANA,20.0,Big Ten,▲9(LW: 20),2012,Outdoor Track,Men,I,FINAL - June 9th
16.0,ARIZONA STATE,18.0,Pac-12,▲9(LW: 25),2012,Outdoor Track,Men,I,FINAL - June 9th
17.0,UCLA,17.0,Pac-12,▲20(LW: 37),2012,Outdoor Track,Men,I,FINAL - June 9th
18.0,TEXAS TECH,16.0,Big 12,▼9(LW: 9),2012,Outdoor Track,Men,I,FINAL - June 9th
18.0,STANFORD,16.0,Pac-12,▼12(LW: 6),2012,Outdoor Track,Men,I,FINAL - June 9th
20.0,ORAL ROBERTS,15.0,Summit League,▲14(LW: 34),2012,Outdoor Track,Men,I,FINAL - June 9th
21.0,BYU,13.0,Independent,▼13(LW: 8),2012,Outdoor Track,Men,I,FINAL - June 9th
21.0,PENN STATE,13.0,Big Ten,▼1(LW: 20),2012,Outdoor Track,Men,I,FINAL - June 9th
23.0,KANSAS STATE,12.0,Big 12,▼7(LW: 16),2012,Outdoor Track,Men,I,FINAL - June 9th
23.0,OHIO STATE,12.0,Big Ten,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
23.0,KANSAS,12.0,Big 12,▼5(LW: 18),2012,Outdoor Track,Men,I,FINAL - June 9th
23.0,IOWA,12.0,Big Ten,▲23(LW: 46),2012,Outdoor Track,Men,I,FINAL - June 9th
27.0,PRINCETON,11.0,Ivy League,▲5(LW: 32),2012,Outdoor Track,Men,I,FINAL - June 9th
27.0,MINNESOTA,11.0,Big Ten,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
29.0,UC IRVINE,10.0,Big West,▲5(LW: 34),2012,Outdoor Track,Men,I,FINAL - June 9th
29.0,BOISE STATE,10.0,Mountain West,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
29.0,ILLINOIS STATE,10.0,Missouri Valley,▼4(LW: 25),2012,Outdoor Track,Men,I,FINAL - June 9th
32.0,WISCONSIN,9.0,Big Ten,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
33.0,MICHIGAN,8.0,Big Ten,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
33.0,USF,8.0,Big East (1st Ed.),▲8(LW: 41),2012,Outdoor Track,Men,I,FINAL - June 9th
33.0,NEW MEXICO,8.0,Mountain West,▲8(LW: 41),2012,Outdoor Track,Men,I,FINAL - June 9th
33.0,UT ARLINGTON,8.0,Southland,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
33.0,UNCG,8.0,SoCon,NR,2012,Outdoor Track,Men,I,FINAL - June 9th
38.0,OLE MISS,7.5,SEC,▼19(LW: 19),2012,Outdoor Track,Men,I,FINAL - June 9th
39.0,GEORGE MASON,7.0,Colonial,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
40.0,NC STATE,6.0,ACC,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
40.0,CLEMSON,6.0,ACC,▼2(LW: 38),2012,Outdoor Track,Men,I,FINAL - June 9th
40.0,OKLAHOMA,6.0,Big 12,▼20(LW: 20),2012,Outdoor Track,Men,I,FINAL - June 9th
43.0,UTSA,5.0,Southland,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
43.0,MISSISSIPPI STATE,5.0,SEC,▼23(LW: 20),2012,Outdoor Track,Men,I,FINAL - June 9th
43.0,WESTERN KENTUCKY,5.0,Sun Belt,▲15(LW: 58),2012,Outdoor Track,Men,I,FINAL - June 9th
43.0,HARVARD,5.0,Ivy League,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
43.0,KENTUCKY,5.0,SEC,▼2(LW: 41),2012,Outdoor Track,Men,I,FINAL - June 9th
43.0,UC SANTA BARBARA,5.0,Big West,▲21(LW: 64),2012,Outdoor Track,Men,I,FINAL - June 9th
49.0,TEMPLE,4.0,Atlantic 10,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
49.0,WASHINGTON STATE,4.0,Pac-12,▼24(LW: 25),2012,Outdoor Track,Men,I,FINAL - June 9th
49.0,MCNEESE STATE,4.0,Southland,NR,2012,Outdoor Track,Men,I,FINAL - June 9th
49.0,IOWA STATE,4.0,Big 12,▼3(LW: 46),2012,Outdoor Track,Men,I,FINAL - June 9th
49.0,BAYLOR,4.0,Big 12,▼17(LW: 32),2012,Outdoor Track,Men,I,FINAL - June 9th
54.0,LIBERTY,3.5,Big South,▼42(LW: 12),2012,Outdoor Track,Men,I,FINAL - June 9th
54.0,AIR FORCE,3.5,Mountain West,▲10(LW: 64),2012,Outdoor Track,Men,I,FINAL - June 9th
56.0,TENNESSEE,3.0,SEC,▲8(LW: 64),2012,Outdoor Track,Men,I,FINAL - June 9th
56.0,SYRACUSE,3.0,Big East (1st Ed.),(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
56.0,INDIANA STATE,3.0,Missouri Valley,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
56.0,MISSOURI,3.0,Big 12,▼15(LW: 41),2012,Outdoor Track,Men,I,FINAL - June 9th
56.0,VIRGINIA,3.0,ACC,▼31(LW: 25),2012,Outdoor Track,Men,I,FINAL - June 9th
56.0,BOSTON UNIVERSITY,3.0,America East,NR,2012,Outdoor Track,Men,I,FINAL - June 9th
56.0,UTEP,3.0,Conference USA,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
63.0,PENN,2.5,Ivy League,▲1(LW: 64),2012,Outdoor Track,Men,I,FINAL - June 9th
64.0,GEORGIA,2.0,SEC,▼10(LW: 54),2012,Outdoor Track,Men,I,FINAL - June 9th
64.0,TCU,2.0,Mountain West,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,WILLIAM & MARY,1.0,Colonial,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,BINGHAMTON,1.0,America East,▼12(LW: 54),2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,OKLAHOMA STATE,1.0,Big 12,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,CALIFORNIA,1.0,Pac-12,▼41(LW: 25),2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,TULSA,1.0,Conference USA,(LW: RV),2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,EASTERN KENTUCKY,1.0,OVC,NR,2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,ALABAMA,1.0,SEC,▼41(LW: 25),2012,Outdoor Track,Men,I,FINAL - June 9th
66.0,VILLANOVA,1.0,Big East (1st Ed.),▼25(LW: 41),2012,Outdoor Track,Men,I,FINAL - June 9th
2.0,OREGON,62.0,Pac-12,◀▶(LW: 2),2012,Outdoor Track,Women,I,FINAL - June 9th
3.0,TEXAS A&M,38.0,Big 12,▼2(LW: 1),2012,Outdoor Track,Women,I,FINAL - June 9th
4.0,KANSAS,28.0,Big 12,▲19(LW: 23),2012,Outdoor Track,Women,I,FINAL - June 9th
4.0,CLEMSON,28.0,ACC,▲3(LW: 7),2012,Outdoor Track,Women,I,FINAL - June 9th
6.0,STANFORD,25.0,Pac-12,▲2(LW: 8),2012,Outdoor Track,Women,I,FINAL - June 9th
7.0,OKLAHOMA,24.0,Big 12,▼3(LW: 4),2012,Outdoor Track,Women,I,FINAL - June 9th
8.0,WASHINGTON,23.0,Pac-12,▲46(LW: 54),2012,Outdoor Track,Women,I,FINAL - June 9th
9.0,TENNESSEE,21.0,SEC,▲2(LW: 11),2012,Outdoor Track,Women,I,FINAL - June 9th
9.0,SAN DIEGO STATE,21.0,Mountain West,▲51(LW: 60),2012,Outdoor Track,Women,I,FINAL - June 9th
11.0,TEXAS,20.0,Big 12,▼3(LW: 8),2012,Outdoor Track,Women,I,FINAL - June 9th
12.0,FLORIDA,18.0,SEC,▲22(LW: 34),2012,Outdoor Track,Women,I,FINAL - June 9th
12.0,SOUTHERN MISS,18.0,Conference USA,▼2(LW: 10),2012,Outdoor Track,Women,I,FINAL - June 9th
14.0,DARTMOUTH,16.0,Ivy League,▲26(LW: 40),2012,Outdoor Track,Women,I,FINAL - June 9th
14.0,SOUTHERN ILLINOIS,16.0,Missouri Valley,▲15(LW: 29),2012,Outdoor Track,Women,I,FINAL - June 9th
14.0,FLORIDA STATE,16.0,ACC,▲6(LW: 20),2012,Outdoor Track,Women,I,FINAL - June 9th
14.0,COLORADO,16.0,Pac-12,▲3(LW: 17),2012,Outdoor Track,Women,I,FINAL - June 9th
14.0,ILLINOIS STATE,16.0,Missouri Valley,▲40(LW: 54),2012,Outdoor Track,Women,I,FINAL - June 9th
19.0,UCF,15.0,Conference USA,▼2(LW: 17),2012,Outdoor Track,Women,I,FINAL - June 9th
19.0,ARIZONA,15.0,Pac-12,▼14(LW: 5),2012,Outdoor Track,Women,I,FINAL - June 9th
21.0,OHIO STATE,14.0,Big Ten,▲5(LW: 26),2012,Outdoor Track,Women,I,FINAL - June 9th
21.0,UCLA,14.0,Pac-12,▲13(LW: 34),2012,Outdoor Track,Women,I,FINAL - June 9th
21.0,GEORGIA,14.0,SEC,▲19(LW: 40),2012,Outdoor Track,Women,I,FINAL - June 9th
24.0,ARIZONA STATE,13.0,Pac-12,▼5(LW: 19),2012,Outdoor Track,Women,I,FINAL - June 9th
24.0,SOUTHERN CALIFORNIA,13.0,Pac-12,▼18(LW: 6),2012,Outdoor Track,Women,I,FINAL - June 9th
24.0,ARKANSAS,13.0,SEC,▼10(LW: 14),2012,Outdoor Track,Women,I,FINAL - June 9th
24.0,AUBURN,13.0,SEC,▼10(LW: 14),2012,Outdoor Track,Women,I,FINAL - June 9th
28.0,WICHITA STATE,12.0,Missouri Valley,▲10(LW: 38),2012,Outdoor Track,Women,I,FINAL - June 9th
29.0,PENN STATE,11.0,Big Ten,▲15(LW: 44),2012,Outdoor Track,Women,I,FINAL - June 9th
30.0,ILLINOIS,10.0,Big Ten,▲36(LW: 66),2012,Outdoor Track,Women,I,FINAL - June 9th
30.0,TCU,10.0,Mountain West,▼3(LW: 27),2012,Outdoor Track,Women,I,FINAL - June 9th
30.0,BYU,10.0,Independent,(LW: RV),2012,Outdoor Track,Women,I,FINAL - June 9th
33.0,GEORGETOWN,9.0,Big East (1st Ed.),▼10(LW: 23),2012,Outdoor Track,Women,I,FINAL - June 9th
34.0,WEST VIRGINIA,8.0,Big East (1st Ed.),▼14(LW: 20),2012,Outdoor Track,Women,I,FINAL - June 9th
34.0,LOUISIANA TECH,8.0,WAC,(LW: RV),2012,Outdoor Track,Women,I,FINAL - June 9th
34.0,UC SANTA BARBARA,8.0,Big West,NR,2012,Outdoor Track,Women,I,FINAL - June 9th
34.0,SOUTH DAKOTA,8.0,Summit League,(LW: RV),2012,Outdoor Track,Women,I,FINAL - June 9th
38.0,MIAMI (FLA.),7.0,ACC,▼11(LW: 27),2012,Outdoor Track,Women,I,FINAL - June 9th
38.0,IOWA STATE,7.0,Big 12,▲6(LW: 44),2012,Outdoor Track,Women,I,FINAL - June 9th
40.0,ALABAMA,6.0,SEC,(LW: RV),2012,Outdoor Track,Women,I,FINAL - June 9th
40.0,MISSOURI,6.0,Big 12,(LW: RV),2012,Outdoor Track,Women,I,FINAL - June 9th
40.0,EAST CAROLINA,6.0,Conference USA,(LW: RV),2012,Outdoor Track,Women,I,FINAL - June 9th
40.0,WISCONSIN,6.0,Big Ten,▲4(LW: 44),2012,Outdoor Track,Women,I,FINAL - June 9th
40.0,UNLV,6.0,Mountain West,▼8(LW: 32),2012,Outdoor Track,Women,I,FINAL - June 9th
40.0,UC DAVIS,6.0,Big West,NR,2012,Outdoor Track,Women,I,FINAL - June 9th
40.0,CALIFORNIA,6.0,Pac-12,▲25(LW: 65),2012,Outdoor Track,Women,I,FINAL - June 9th
47.0,PROVIDENCE,5.0,Big East (1st Ed.),NR,2012,Outdoor Track,Women,I,FINAL - June 9th
47.0,STONY BROOK,5.0,America East,▼13(LW: 34),2012,Outdoor Track,Women,I,FINAL - June 9th
47.0,MICHIGAN STATE,5.0,Big Ten,▼3(LW: 44),2012,Outdoor Track,Women,I,FINAL - June 9th
50.0,MONTANA STATE,4.0,Big Sky,NR,2012,Outdoor Track,Women,I,FINAL - June 9th
50.0,OKLAHOMA STATE,4.0,Big 12,▼16(LW: 34),2012,Outdoor Track,Women,I,FINAL - June 9th
50.0,LOUISVILLE,4.0,Big East (1st Ed.),▼6(LW: 44),2012,Outdoor Track,Women,I,FINAL - June 9th
50.0,INDIANA STATE,4.0,Missouri Valley,(LW: RV),2012,Outdoor Track,Women,I,FINAL - June 9th
50.0,PRINCETON,4.0,Ivy League,▲4(LW: 54),2012,Outdoor Track,Women,I,FINAL - June 9th
